id,location,products
n1873,Indonesia,Copper
n1874,South Korea,Railroad rails
n1875,United States,"Industrial Support Services, Information System Part of Vehicle"
n1876,,"PCB, PCB Mounted Products Part of Vehicle, PCB, PCB Mounted Products Part of Vehicle, PCB, PCB Mounted Products Part of Vehicle, Small form and t-foundry"
n1877,Vietnam,
n1878,Australia,"Iron ore, Lithium, Hard coking coal"
n1879,Japan,"Pipe / Hose Part of Vehicle, Wire Harness Part of Vehicle, Seat Belt Part of Vehicle, Airbag Parts Part of Vehicle"
n1880,Taiwan,"Distributor Part of Vehicle, Car Navigation Part of Vehicle, Traction motor (Electric Vehicle/Hybrid Vehicle/Fuel Cell Vehicle) Part of Vehicle, ETC Part of Vehicle, Pedal Part of Vehicle, Motorcycle parts Part of Vehicle"
n1881,South Korea,Refined nickel
n1882,,"Steel sheet piles, Sulphuric acid, Household Products"
n1883,,"Fertilizer, Chemical grade alumina"
n1884,Czech Republic,"Automatic Transmission Carrier Part of Vehicle, Common Rail Part of Vehicle, Leisure Facilities & Services"
n1885,Japan,"Bituminous coking coal, Pickled steel, Long flame coal, Sulphuric acid"
n1886,United States,Asset Management
n1887,,Uranium
n1888,,"Seal Part of Vehicle, Home Construction, Vibration/Acoustic Insulator Part of Vehicle, Transmission Shaft Part of Vehicle, Distributor Part of Vehicle, Rubber parts Part of Vehicle"
n1889,,
n1890,Nigeria,Steel slab
n1891,United States,"Pgm, Software, Software"
n1892,China,"Film Part of Vehicle, Machining Part of Vehicle, Optical Fiber Part of Vehicle"
n1893,Japan,Household Products
n1894,Canada,"Automatic Transmission Carrier Part of Vehicle, Clean energy system Part of Vehicle"
n1895,Australia,"Semi-anthracite pulverised coal injection (pci) coal, Continuous caster billet, Asset Management"
n1896,South Africa,"Iron ore, Copper"
n1897,South Africa,Iron ore
n1898,Italy,Oil Pump Part of Vehicle
n1899,Germany,"Internet Media & Services, Consumer Services, Internet Media & Services"
n1900,,
n1901,,"Lead, Forestry, Paper & Wood Products, Insurance"
n1902,Indonesia,Adhesive Part of Vehicle
n1903,China,"Chemical grade alumina, Chemical grade alumina, Chemical grade alumina, Hard coking coal"
n1904,,"Steel slab, Steel slab, Rhodium, Forestry, Paper & Wood Products, Forestry, Paper & Wood Products, Forestry, Paper & Wood Products, Real Estate Services, Pyrite, Asset Management, Asset Management, Iron pellets"
n1905,United States,Home & Office Products
n1906,India,"Battery Charger Part of Vehicle, Industrial Support Services, Breaker Part of Vehicle"
n1907,Taiwan,Consumer Services
n1908,,Wire rods
n1909,India,"Exhaust System Part of Vehicle, Suspension Control Part of Vehicle, Seat Frame Part of Vehicle, Floor Trim Part of Vehicle"
n1910,Malaysia,Tinplate
n1911,Indonesia,Coal
n1912,South Korea,Steel
n1913,Brazil,
n1914,South Korea,"High Tension Cable Part of Vehicle, Other Fuel Systems Part of Vehicle, Fuel Rail Part of Vehicle, Radiator Fan Shroud Part of Vehicle, Fuel Evaporator Part of Vehicle, Radiator Mounting Rubber Part of Vehicle, Hydroforming Part of Vehicle, Fuel Pump Parts Part of Vehicle, Canister Filter Part of Vehicle, Heater Part of Vehicle, High Pressure Pipe Part of Vehicle, Bolt Part of Vehicle"
n1915,Australia,"Bauxite, Alumina, Aluminium"
n1916,Taiwan,Electronics Parts Part of Vehicle
n1917,Taiwan,Chemical grade alumina
n1918,,"Software, Software, Lignite"
n1919,Italy,Remelt
n1920,China,Various Motor Part of Vehicle
n1921,,"Small form and t-foundry, Steel sheet piles, Heavy angles, Small form and t-foundry"
n1922,,
n1923,Canada,"Fuel cell electrolyte membrane Part of Vehicle, Fuel cell stack Part of Vehicle, Assembly Part of Vehicle, Industrial Support Services"
n1924,India,Various power semiconductor devices for Power ECU Part of Vehicle
n1925,Canada,Copper
n1926,Japan,"Headlamp Part of Vehicle, Rear Combination Lamp Part of Vehicle, Various Lamps Part of Vehicle, High Mounted Stop Lamp Part of Vehicle, Headlamp Part of Vehicle, Electronics/Electric Parts Part of Vehicle"
n1927,Japan,Industrial Support Services
n1928,Germany,"Various Motor Part of Vehicle, Engine Parts Part of Vehicle"
n1929,Vietnam,Molten metal
n1930,Japan,
n1931,China,"Railroad rails, Palladium"
n1932,,"Billet, Organic-coated rolls, Alumina, Silicomanganese, Anode slime, Cobalt hydroxide, Insurance, Manganese, Diamonds, Diamonds, Forestry, Paper & Wood Products, Coke, Organic-coated rolls, Software, Alumina, Pci"
n1933,China,Lignite
n1934,Indonesia,Thermal coal
n1935,Hong Kong,Asset Management
n1936,China,"Iron ore concentrate, Thermal coal, Limestone"
n1937,,"Air Fuel Module Part of Vehicle, Cockpit Part of Vehicle"
n1938,South Korea,Oil Pan Part of Vehicle
n1939,United States,"Clean energy system parts Part of Vehicle, Automatic Transmission Carrier Part of Vehicle, Industrial Support Services"
n1940,Sweden,Alumina
n1941,,
n1942,China,"Limestone, Limestone, Limestone, Limestone, Limestone"
n1943,South Korea,Steel
n1944,Spain,Various Motor Part of Vehicle
n1945,India,Containers & Packaging
n1946,South Korea,"Silver, Steel bar"
n1947,,"Black plates, Tinplate, Tinplate"
n1948,,"Software, Software"
n1949,United States,"Transmission Part of Vehicle, Other Fuel Systems Part of Vehicle, Clean energy system Part of Vehicle"
n1950,China,Thermal coal
n1951,Taiwan,IGBT devices for Power ECU Part of Vehicle
n1952,,"Lignite, Coke, Food, Household Products"
n1953,,"Food, Food, Real Estate Services, Food"
n1954,,"Fertilizer, High-carbon ferromanganese, Ilmenite, Uranium, Beverages, Covers, Beverages, Sulphuric acid, Aluminium hydroxide, Sulphuric acid, Nickel-cobalt mixed sulfide, Cobalt hydroxide, Limestone, Phosphates, Uranium, Palladium, Alumina"
n1955,India,"Combination Switch Part of Vehicle, Various Lamps Part of Vehicle, Vibration/Acoustic Insulator Part of Vehicle, Seat Reclining Device Part of Vehicle, Alloy Wheel Part of Vehicle, Various Lamps Part of Vehicle, Various Lamps Part of Vehicle, Information System Part of Vehicle, Driving Support Systems Part of Vehicle, Telematics Communication System Part of Vehicle, On-board battery charger Part of Vehicle, Power Steering Motor Part of Vehicle"
n1956,,"Real Estate Services, Steel meshes, Real Estate Services, Real Estate Services, Fertilizer, Forestry, Paper & Wood Products, Asset Management, Household Products, Insurance"
n1957,China,Molten metal
n1958,Japan,Steel slab
n1959,Brazil,Copper
n1960,United States,"Lignite, Phosphates"
n1961,South Korea,"Fertilizer, Forestry, Paper & Wood Products"
n1962,Brazil,"Iron ore, Nickel, Manganese, Ferrite strontium powder, Copper, Bauxite, Alumina, Manganese, Cobalt, Fertilizer, Phosphates, Fertilizer, Coal, Iron ore fines, Iron ore pellets, Railroad rails"
n1963,,"Software, Wire rod"
n1964,China,"ETC Part of Vehicle, LED Part of Vehicle, Categories by Production process Part of Vehicle"
n1965,United States,Passenger Airbag Module Part of Vehicle
n1966,Japan,Software
n1967,Japan,"Interior Part of Vehicle, Fuel Filter Parts Part of Vehicle, Electronics Parts Part of Vehicle, Apparel & Textile Products"
n1968,,"Fertilizer, Small form and t-foundry, Household Products"
n1969,Japan,"Liquid Crystal Part of Vehicle, Liquid Crystal Part of Vehicle, Liquid Crystal Part of Vehicle, Audio Amplifier Part of Vehicle, Audio Amplifier Part of Vehicle, Various power semiconductor devices for Power ECU Part of Vehicle, Liquid Crystal Part of Vehicle"
n1970,China,Common Rail Part of Vehicle
n1971,United States,Insurance
n1972,Netherlands,"Road Wheel Part of Vehicle, Leisure Facilities & Services, Clean energy system Part of Vehicle, Home Construction"
n1973,,
n1974,,"Real Estate Services, Railroad rails, Small form and t-foundry, Forestry, Paper & Wood Products, Banking, Real Estate Services"
n1975,Japan,"Household Products, Aluminium, Small form and t-foundry"
n1976,Japan,"Motor control ECU Part of Vehicle, Liquid Crystal Part of Vehicle"
n1977,United States,Asset Management
n1978,Japan,Rubber-metal parts Part of Vehicle
n1979,Japan,"Transistor Part of Vehicle, Liquid Crystal Part of Vehicle, LCD Part of Vehicle"
n1980,China,"Steel, Steel"
n1981,,"Gasket Part of Vehicle, Air Conditioner Condenser Part of Vehicle, Oil Pump Part of Vehicle, Consumer Services, Industrial Support Services, Industrial Support Services, 4WD Transfer Part of Vehicle, Consumer Services, Consumer Services, Various power semiconductor devices for Power ECU Part of Vehicle, Pipe / Hose Part of Vehicle, Pipe Part of Vehicle"
n1982,South Korea,"Lead, Sinter"
n1983,China,
n1984,China,Apparel & Textile Products
n1985,Japan,Electronics/Electric Parts Part of Vehicle
n1986,Japan,Hose Part of Vehicle
n1987,,"Steel, Fertilizer"
n1988,,
n1989,China,"Chemical grade alumina, Aluminium slab, Cobalt hydroxide, Organic-coated rolls, Organic-coated rolls, Steel meshes, Cobalt hydroxide, Food, Iridium, Organic-coated rolls, Organic-coated rolls, Lignite, Ruthenium, Phosphates"
n1990,Japan,Palladium
n1991,China,"Railroad rails, Steel meshes, Railroad rails, Railroad rails, Real Estate Services, Banking, Asset Management"
n1992,China,Electronics Parts Part of Vehicle
n1993,Vietnam,"Industrial Support Services, Commercial Support Services"
n1994,Japan,"Steel angles, Heavy angles, Small form and t-foundry"
n1995,China,"Containers & Packaging, 4WD Transfer Part of Vehicle, Washer Tank Part of Vehicle, Leisure Facilities & Services"
n1996,China,Thermal coal
n1997,France,"4WD Transfer Part of Vehicle, Wholesale - Discretionary, Distributor Part of Vehicle"
n1998,China,"Bumper Part of Vehicle, Home & Office Products, Seal Part of Vehicle, Gasket Part of Vehicle, Rubber parts Part of Vehicle"
n1999,South Korea,Terminal Part of Vehicle
n2000,China,"Lithium, Copper cathode"
n2001,Israel,Home & Office Products
n2002,China,"Steel, Aluminium, Coal, Real Estate Services"
n2003,Japan,Asset Management
n2004,Japan,"Air Conditioner Compressor Part of Vehicle, Heater Part of Vehicle, Auxiliary Heater Part of Vehicle"
n2005,,"Sodium tripolyphosphate, Fertilizer, Phosphates, Software, Niobium"
n2006,,Bituminous coal
n2007,India,Thermal coal
n2008,,Thermal coal
n2009,United States,"Railroad rails, Software, Asset Management"
n2010,South Korea,Continuous caster billet
n2011,China,"Flat bars, Covers, Steel"
n2012,India,Electric Power Steering Part of Vehicle
n2013,South Korea,"Household Products, Steel, Molten metal, Flat bars, Steel, Coal, Merchant steel bar"
n2014,China,
n2015,Taiwan,Alumina hydrate
n2016,South Korea,"Zircon, Zircon, Zircon, Lithium, Iridium, Lithium, Entertainment Content, Household Products, Software"
n2017,,
n2018,Japan,"Continuous caster billet, Continuous caster billet, Manganese, Manganese, Manganese, Manganese, Manganese, Manganese"
n2019,United States,Software
n2020,Japan,"Fastener Part of Vehicle, Machining Part of Vehicle, Load Sensor Part of Vehicle"
n2021,,T-foundry
n2022,Japan,Cobalt
n2023,Luxembourg,
n2024,Algeria,Thermal coal
n2025,China,"Steel plates, Steel, Steel, Steel, Steel"
n2026,Netherlands,Asset Management
n2027,China,Uranium
n2028,,
n2029,,"Uranium, Uranium"
n2030,Singapore,"Fertilizer, Asset Management, Coal, Fertilizer, Real Estate Services"
n2031,Vietnam,"Water Pump Part of Vehicle, Water Pump Part of Vehicle, Instrument Meter Part of Vehicle, Wholesale - Consumer Staples, Water Pump Part of Vehicle, Pipe / Hose Part of Vehicle"
n2032,United States,"Asset Management, Lead"
n2033,United Kingdom,Car Navigation Part of Vehicle
n2034,United States,Automatic Transmission Carrier Part of Vehicle
n2035,Norway,Food
n2036,United States,"Lignite, Forestry, Paper & Wood Products, Copper"
n2037,Switzerland,Wire Harness Part of Vehicle
n2038,,"Sinter, Railroad rails, Hot-rolled sheet"
n2039,Italy,Asset Management
n2040,,"Various power semiconductor devices for Power ECU Part of Vehicle, Wholesale - Discretionary, Advertising & Marketing, Industrial Support Services, Clean energy system Part of Vehicle"
n2041,Japan,Iridium
n2042,United States,"Food, Food"
n2043,Japan,"Molten metal, Refined lead, Hot-rolled coil, Aluminium high purity, High-carbon ferromanganese"
n2044,South Korea,"Household Products, Organic-coated rolls, Organic-coated rolls, Organic-coated rolls, Organic-coated rolls, Organic-coated rolls, Palladium, Alumina hydrate, Phosphates, Organic-coated rolls, Organic-coated rolls, Ilmenite, Forestry, Paper & Wood Products, Molten metal, Copper rod, Tinplate"
n2045,Indonesia,Home Construction
n2046,China,"Railroad rails, Zircon, Sub-bituminous coal, Manganese, Zircon, Coking coal, Zircon"
n2047,Japan,Electronics/Electric Parts Part of Vehicle
n2048,,"Forestry, Paper & Wood Products"
n2049,,"Steel, Tinplate, Molten metal, Software, Real Estate Services"
n2050,Vietnam,"Categories by Production process Part of Vehicle, Categories by Production process Part of Vehicle, Categories by Production process Part of Vehicle"
n2051,,"Pig iron, Merchant steel bar, Silver"
n2052,China,Wire rod
n2053,United States,Iron ore
n2054,Russian Federation,Ferrite strontium powder
n2055,Slovakia,"Entertainment Content, Covers"
n2056,China,"Various Semiconductors Part of Vehicle, SiC devices for Converter Part of Vehicle, Fuel cell separator Part of Vehicle, Turbo Charger Part of Vehicle, Bulb Part of Vehicle"
n2057,United States,"Oil Pump Part of Vehicle, General Commodity Part of Vehicle, Gasket Part of Vehicle, Internet Media & Services, Air Conditioner Condenser Part of Vehicle"
n2058,United Kingdom,Turbine Wheel Part of Vehicle
n2059,Japan,Real Estate Services
n2060,Cayman Islands,Asset Management
n2061,,"Food, Fertilizer, Fertilizer, Fertilizer, Fertilizer, Forestry, Paper & Wood Products, Fertilizer, Fertilizer, Fertilizer"
n2062,Germany,"Turbo Charger Part of Vehicle, All Selected, All Selected, IGBT devices for Power ECU Part of Vehicle"
n2063,India,Industrial Support Services
n2064,Japan,"Food, Food, Beverages"
n2065,Vietnam,"Forestry, Paper & Wood Products, Platinum, Steel, Cobalt, Limestone, Banking, Aluminium billet, Iron, Niobium, Chemical grade alumina, Software, Hot-rolled strip, Steel, Beverages, Software, Remelt, Coking coal, Cobalt"
n2066,Japan,"Lignite, Lignite, Lignite, Forestry, Paper & Wood Products, Coke, Food, Software, Real Estate Services"
n2067,United States,"Air Suspension Part of Vehicle, Information System Part of Vehicle"
n2068,South Korea,Asset Management
n2069,,Oil Pump Part of Vehicle
n2070,South Korea,Spring Seat Part of Vehicle
n2071,Greece,Iron ore concentrate
n2072,China,
n2073,South Korea,"Railroad rails, Steel meshes"
n2074,Philippines,Clean energy system Part of Vehicle
n2075,,Resistor Part of Vehicle
n2076,China,Alloy Wheel Part of Vehicle
n2077,,"Software, Ferrite strontium powder, Rhodium, Sulphuric acid"
n2078,United States,"Passenger Airbag Module Part of Vehicle, Passenger Airbag Module Part of Vehicle, Commercial Support Services"
n2079,Brazil,Household Products
n2080,United States,Real Estate Owners & Developers
n2081,Taiwan,"Electronics Parts Part of Vehicle, Electronics Parts Part of Vehicle, Instrument Switch Part of Vehicle, Fuel cell electrolyte membrane Part of Vehicle, Odometer Stepping Motor Part of Vehicle, Instrument Meter Part of Vehicle, Front End Module Part of Vehicle, Instrument Meter Part of Vehicle"
n2082,South Korea,Steel
n2083,China,"Coke, Forestry, Paper & Wood Products"
n2084,China,"Lithium, High purity"
n2085,United States,Body Reinforcement Parts Part of Vehicle
n2086,Japan,Die casting Part of Vehicle
n2087,United States,Telematics Communication System Part of Vehicle
n2088,,Pgm
n2089,South Korea,Chemical grade alumina
n2090,Japan,"Aluminium slab, Long flame coal"
n2091,Japan,Telematics Communication System Part of Vehicle
n2092,China,Refined cobalt
n2093,United States,"Steel bar, Software, Software"
n2094,United States,Home Construction
n2095,United States,Wholesale - Consumer Staples
n2096,China,"Hot-rolled steel, Steel plates, Steel plates, Steel plates, Steel bar, Steel, Steel billets, Cold-rolled steel, Coking coal concentrate, Coal, Steel, Iron ore, Pig iron, Steel billets, Steel, Steel, Coke, Steel sheet piles"
n2097,Japan,Various Semiconductors Part of Vehicle
n2098,,"Billet, Organic-coated rolls, Alumina, Silicomanganese, Anode slime, Cobalt hydroxide, Insurance, Manganese, Diamonds, Diamonds, Forestry, Paper & Wood Products, Coke, Pyrite, Software, Alumina, Pci"
n2099,Singapore,"Commercial Support Services, Industrial Support Services, Optical Fiber Part of Vehicle, Diesel Fuel Filter   Part of Vehicle"
n2100,Japan,"Oil Level Gauge Part of Vehicle, Transistor Part of Vehicle, Sensors Part of Vehicle, Audio Part of Vehicle, CPU Part of Vehicle, Information System Part of Vehicle"
n2101,Japan,Bearing Part of Vehicle
n2102,United Kingdom,Industrial Support Services
n2103,,"Fertilizer, Lignite, Palladium"
n2104,United States,"Semi-anthracite pulverised coal injection (pci) coal, Beverages, High-carbon ferromanganese, Beverages, Coal, Coke, Steel"
n2105,Qatar,Phosphates
n2106,Qatar,Entertainment Content
n2107,Japan,Control Cable Part of Vehicle
n2108,,"Covers, Lead, Organic-coated rolls, Sodium tripolyphosphate"
n2109,,"Rutile, Aluminium hydroxide, Phosphates"
n2110,United States,Passenger Airbag Module Part of Vehicle
n2111,,"Limestone, Limestone, Steel slab, Steel slab, Hot-rolled strip, Iron pellets"
n2112,China,"Internet Media & Services, Water Pump Part of Vehicle, Home Construction, Wholesale - Discretionary, Industrial Support Services, Wholesale - Discretionary"
n2113,China,"Automatic Control Parts Part of Vehicle, Transistor Part of Vehicle"
n2114,,"Power Steering Reservoir Tank Part of Vehicle, Door Lock Part of Vehicle, Leisure Facilities & Services"
n2115,Germany,"Small/General Parts Part of Vehicle, Truck Body Panel Part of Vehicle"
n2116,South Korea,Engine Parts Part of Vehicle
n2117,Hong Kong,Industrial Support Services
n2118,Japan,Railroad rails
n2119,Japan,"Truck Body Panel Part of Vehicle, Headrest Part of Vehicle, Cross Car Beam Part of Vehicle, Jack Part of Vehicle"
n2120,,"Black plates, Wire rod, Steel bar, Steel, Steel"
n2121,China,Asset Management
n2122,France,Railroad rails
n2123,South Korea,Fuel cell system Part of Vehicle
n2124,China,Thermal coal
n2125,,"Zircon, Steel, Rutile, Bauxite, Ilmenite, Platinum, Chemical grade alumina, Steel, Zircon, Zircon, Zircon"
n2126,Japan,Steel
n2127,South Korea,Internet Media & Services
n2128,Japan,"Rubber parts Part of Vehicle, Information System Part of Vehicle, Health Care Facilities & Svcs"
n2129,,"Leisure Products, Real Estate Services"
n2130,,"Shift Fork Part of Vehicle, Shift Fork Part of Vehicle"
n2131,,Remelt
n2132,India,Paint Coating Part of Vehicle
n2133,Japan,"Antenna Part of Vehicle, GPS Antenna Part of Vehicle, Antenna Part of Vehicle, Actuators Part of Vehicle, ETC Part of Vehicle, Electronics Parts Part of Vehicle"
n2134,Japan,"Refined silver, Ruthenium, Organic-coated rolls, Platinum, Manganese, Anode slime, Beverages, Zircon, Zircon, Zircon"
n2135,China,"Uranium, Uranium, Aluminium slab, Software"
n2136,Germany,"Coal, Semi-anthracite pulverised coal injection (pci) coal, Uranium"
n2137,United States,"Air Intake Module Part of Vehicle, Cockpit Module Part of Vehicle, Air Conditioner Receiver Part of Vehicle"
n2138,Vietnam,"Various power semiconductor devices for Converter Part of Vehicle, Transformer Part of Vehicle, Transformer Part of Vehicle"
n2139,United States,Asset Management
n2140,Turkey,Covers
n2141,Japan,"Electronics Parts Part of Vehicle, Transmission Parts Part of Vehicle, Industrial Support Services, Power control system parts (Electric Vehicle/Hybrid Vehicle/Fuel Cell Vehicle) Part of Vehicle, Engine Control System Part of Vehicle, Engine Control System Part of Vehicle, Planetary Gear Part of Vehicle, Transmission Gear Part of Vehicle, CCD Camera Part of Vehicle, CCD Camera Part of Vehicle, Other Driving Support Systems Part of Vehicle"
n2142,,"Software, Entertainment Content"
n2143,China,"Cobalt, Sodium tripolyphosphate, Coke, Sodium tripolyphosphate, Coke, Coke, Coke, Palladium, Sulphuric acid, Coke"
n2144,China,Electronics/Electric Parts Part of Vehicle
n2145,Indonesia,"Relay Part of Vehicle, Automatic Transmission Oil Pump Part of Vehicle, Clean energy system Part of Vehicle, Electric Power Steering Part of Vehicle"
n2146,Japan,IC Regulator Part of Vehicle
n2147,China,"Molten metal, Welded pipes and rebars, Lead, Billet, Molten metal, Steel sheet piles, Ferrite strontium powder"
n2148,Japan,Connector Part of Vehicle
n2149,,Heavy angles
n2150,,"Banking, Insurance"
n2151,China,"Railroad rails, Steel"
n2152,China,Hot-rolled steel
n2153,United States,Industrial Support Services
n2154,China,Organic-coated rolls
n2155,Taiwan,"Ruthenium, Iron pellets"
n2156,China,Electronics/Electric Parts Part of Vehicle
n2157,,"Sub-bituminous coal, T-foundry, T-foundry, T-foundry, Software"
n2158,Vietnam,"Steel, Steel, Steel, Steel"
n2159,,
n2160,Russia,
n2161,France,Electronics Parts Part of Vehicle
n2162,Japan,Real Estate Services
n2163,Taiwan,Suspension Ball Joint Part of Vehicle
n2164,South Korea,Alumina hydrate
n2165,China,
n2166,,"Food, Chrome, Household Products, Hot-rolled sheet, Chrome, Beverages, Beverages, Beverages"
n2167,,"Pgm, Forestry, Paper & Wood Products"
n2168,China,Refined silver
n2169,China,"Uranium, Uranium, Uranium, Uranium, Uranium, Uranium, Uranium, Uranium, Uranium"
n2170,,"Real Estate Services, Real Estate Services, Insurance"
n2171,Japan,Lignite
n2172,United States,"Welded pipes and rebars, Software"
n2173,South Korea,"Software, Limestone"
n2174,,"Sulphuric acid, Phosphates, Chemical grade alumina"
n2175,Switzerland,Copper
n2176,Japan,Rack & Pinion Part of Vehicle
n2177,China,"Home Construction, Clean energy system Part of Vehicle"
n2178,Malaysia,Drive Shaft Part of Vehicle
n2179,South Korea,Brake Lining Part of Vehicle
n2180,China,"Other Driving Support Systems Part of Vehicle, Truck Body Panel Part of Vehicle, Steering Part of Vehicle, ETC Part of Vehicle"
n2181,,"Feed Pump Part of Vehicle, Valve Part of Vehicle, Automatic Control Parts Part of Vehicle, Sensor Part of Vehicle, Water Pump Part of Vehicle, Fuel Pump Module Part of Vehicle"
n2182,United Kingdom,Various power semiconductor devices for Power ECU Part of Vehicle
n2183,Russian Federation,"Truck Body Panel Part of Vehicle, Telematics Communication System Part of Vehicle, 4WD Transfer Part of Vehicle, Casting Part of Vehicle, Forging Part of Vehicle, Tool Set Part of Vehicle"
n2184,United States,Asset Management
n2185,Vietnam,Thermal coal
n2186,India,Fertilizer
n2187,,"Uranium, Thermal coal, Uranium, Software"
n2188,China,Motorcycle parts Part of Vehicle
n2189,Russian Federation,"High-carbon ferromanganese, Aluminium, Hot-rolleds steel"
n2190,,"Leisure Facilities & Services, Air/Fuel Management Part of Vehicle, Air/Fuel Management Part of Vehicle, Security System Part of Vehicle, Security System Part of Vehicle, Security System Part of Vehicle, CCD Camera Part of Vehicle, CCD Camera Part of Vehicle, Security System Part of Vehicle, Security System Part of Vehicle"
n2191,Malaysia,Gasoline Fuel Injection System Part of Vehicle
n2192,,"Real Estate Services, Real Estate Services, Household Products"
n2193,Vietnam,"Hard coking coal, Hard coking coal"
n2194,Japan,Containers & Packaging
n2195,France,"Bumper Part of Vehicle, Steering Part of Vehicle"
n2196,Taiwan,
n2197,Taiwan,Software
n2198,Russia,
n2199,South Korea,"Welded pipes and rebars, Steel, Steel"
n2200,,"Lignite, Fertilizer, Lignite, Chemical grade alumina, Direct reduction iron pellets, Organic-coated rolls, Direct reduction iron pellets, Alumina hydrate, Cobalt hydroxide, Lignite"
n2201,Argentina,"Small form and t-foundry, Sulphuric acid"
n2202,Netherlands,Metallurgical coal
n2203,China,
n2204,Japan,"Power Steering Motor Part of Vehicle, Automatic Transmission Oil Pump Parts Part of Vehicle"
n2205,United States,Various power semiconductor devices for Power ECU Part of Vehicle
n2206,,"Iron ore, Iron ore lumps, Iron, Iron, Cobalt, Copper, Steel"
n2207,South Korea,"Coal, Railroad rails, Fertilizer"
n2208,,"Remelt, Pci, Entertainment Content"
n2209,China,"Household Products, Metallurgical coal, Hot-rolled coil"
n2210,South Korea,"Palladium, Organic-coated rolls, Palladium"
n2211,"Virgin Islands, British",Fertilizer
n2212,China,"Cold-rolled steel rolls, Hot-rolled coil, Black plates, Hot-rolled strip, Heavy angles, Steel, Steel, Steel, Steel, Pickled steel, Hot-rolled steel rolls"
n2213,South Korea,Heater Control Unit Part of Vehicle
n2214,Japan,Steel
n2215,Japan,Propeller Shaft Part of Vehicle
n2216,Japan,"Steel plates, Copper"
n2217,Germany,"Gasket Part of Vehicle, Oil Pump Part of Vehicle"
n2218,Taiwan,Industrial Support Services
n2219,Japan,Coal
n2220,Netherlands,"Carburetor Part of Vehicle, Pitman Arm Part of Vehicle, Speaker Part of Vehicle, IC Part of Vehicle, Interior Part of Vehicle"
n2221,China,"Black plates, Black plates, Black plates, Black plates, Steel bar, Flat bars, Hot-rolled steel, Steel, Steel, Organic-coated rolls, Hot-rolled sheet, Hot-rolled sheet, Steel, Galvanized steel, Hot-rolled steel, Steel, Steel, Steel, Hot-rolleds steel, Hot-rolleds steel, Steel, Steel, Cold-rolled steel, Manganese, Steel, Steel, Steel, Steel, Steel, Steel, Steel, Steel, Cold-rolled steel, Steel, Steel, Hot-rolled steel, Chemical grade alumina, Aluminium, Chemical grade alumina, Steel, Iron concentrate, Steel, Wire rod, Refined nickel"
n2222,Italy,Health Care Facilities & Svcs
n2223,Germany,Oil Pump Part of Vehicle
n2224,Cayman Islands,"Chassis Module Part of Vehicle, Drive Train Part of Vehicle"
n2225,United Kingdom,"Dolomite, Organic-coated rolls, Organic-coated rolls, Forestry, Paper & Wood Products, Forestry, Paper & Wood Products, Forestry, Paper & Wood Products"
n2226,United States,Pci
n2227,Germany,Engine Parts Part of Vehicle
n2228,Turkey,"Silicomanganese, Ruthenium"
n2229,Pakistan,Electronics Parts Part of Vehicle
n2230,United States,"Electric Connector Part of Vehicle, Fuel Evaporator Part of Vehicle, Instrument Meter Part of Vehicle"
n2231,,Platinum
n2232,Germany,"Aluminium, Small form and t-foundry, Forestry, Paper & Wood Products, Small form and t-foundry, Steel bloom, Refined silver, Steel"
n2233,,Pipe / Hose Part of Vehicle
n2234,,"Semi-anthracite pulverised coal injection (pci) coal, Sulphuric acid, Organic-coated rolls, Semi-anthracite pulverised coal injection (pci) coal, Lignite, Sulphuric acid"
n2235,South Korea,"Electrolyte for Lithium Ion Battery Part of Vehicle, Pin Part of Vehicle"
n2236,Pakistan,Oil Filter Part of Vehicle
n2237,Japan,Various surface treatment Part of Vehicle
n2238,South Korea,Industrial Support Services
n2239,,"High-carbon ferromanganese, Pyrite, Organic-coated rolls, Forestry, Paper & Wood Products, Forestry, Paper & Wood Products, Forestry, Paper & Wood Products, Organic-coated rolls, Phosphates, Iron ore, Heavy angles, Silicomanganese, Cobalt, Molten metal, Alumina"
n2240,China,"Various power semiconductor devices for Converter Part of Vehicle, Solar Sensor Part of Vehicle, Solar Sensor Part of Vehicle, Home Construction, Commercial Support Services, Industrial Support Services, Solar Sensor Part of Vehicle"
n2241,Taiwan,"Steel billets, Fertilizer, Sulphuric acid"
n2242,United States,"Truck Body Panel Part of Vehicle, 4WD Transfer Part of Vehicle"
n2243,United Arab Emirates,Household Products
n2244,Austria,Commercial Support Services
n2245,United States,Electronics/Electric Parts Part of Vehicle
n2246,Qatar,"Organic-coated rolls, Pyrite, Ilmenite, Sulphuric acid, Chemical grade alumina, High-carbon ferromanganese, High-carbon ferromanganese, Chemical grade alumina, Alumina"
n2247,Jordan,"Emblem Part of Vehicle, Commercial Support Services"
n2248,Saudi Arabia,"Aluminium rod, Banking, Welded pipes and rebars, Lead"
n2249,Vietnam,"Steel, Steel"
n2250,Finland,"Household Products, Sodium tripolyphosphate, Direct reduction iron pellets, Food, Food, Food, Beverages"
n2251,Japan,Steel
n2252,Thailand,Oil Pump Part of Vehicle
n2253,,"Chemical grade alumina, Coke, Sulphuric acid, Beverages"
n2254,South Korea,"Hot-rolled steel rolls, Remelt, Covers, Hot-rolled steel rolls"
n2255,Sweden,Steel
n2256,India,Component Parts Part of Vehicle
n2257,Japan,"Forestry, Paper & Wood Products"
n2258,Germany,Aluminium
n2259,United States,Software
